Qom;IR;34.6401;50.8764;Qom;900000
Qeshm;IR;26.9492;56.2691;Qeshm;25000
Qazvin;IR;36.26877;50.0041;Qazvin;333635
Qarah Zia' od Din;IR;38.8915;45.0255;Qarah Zia' od Din;31947
Farrokh Shahr;IR;32.27174;50.98008;Farrokh Shahr;32391
Qa'en;IR;33.72654;59.18439;Qa'en;40157
Sarpol-e Zahab;IR;34.46109;45.86264;Sarpol-e Zahab;51611
Pishva;IR;35.308;51.7267;Pishva;53856
Piranshahr;IR;36.701;45.1413;Piranshahr;61973
Paveh;IR;35.0434;46.3565;Paveh;17779
Parsabad;IR;39.6482;47.9174;Parsabad;101661
Oshnaviyeh;IR;37.0397;45.0983;Oshnaviyeh;50661
Orumiyeh;IR;37.55274;45.07605;Orumiyeh;577307
Omidiyeh;IR;30.76277;49.70226;Omidiyeh;46983
Nurabad;IR;30.11405;51.52174;Nurabad;64041
Nowshahr;IR;36.64852;51.49621;Nowshahr;40000
Neyshabur;IR;36.21329;58.79575;Neyshabur;220929
Neyriz;IR;29.1988;54.3278;Neyriz;45506
Neka;IR;36.65079;53.29905;Neka;48847
Nazarabad;IR;35.95411;50.60607;Nazarabad;213388
Naqadeh;IR;36.9553;45.388;Naqadeh;73528
Nahavand;IR;34.19088;48.37446;Nahavand;76250
Mohr;IR;27.5552;52.8836;Mohr;35000
Minab;IR;27.13104;57.08716;Minab;70790
Miandoab;IR;36.96667;46.10961;Miandoab;132819
Meybod;IR;32.25014;54.01658;Meybod;51874
Mahriz;IR;31.58428;54.4428;Mahriz;36720
Masjed Soleyman;IR;31.9364;49.3039;Masjed Soleyman;111510
Bardsir;IR;29.92266;56.57433;Bardsir;37192
Mashhad;IR;36.31559;59.56796;Mashhad;2307177
Marivan;IR;35.51829;46.18298;Marivan;91664
Marand;IR;38.4329;45.7749;Marand;124191
Malayer;IR;34.30158;48.82166;Malayer;176573
Malard;IR;35.6659;50.9767;Malard;56745
Mahabad;IR;36.7631;45.7222;Mahabad;162434
Langarud;IR;37.19548;50.15263;Langarud;68148
Kuhdasht;IR;33.53335;47.60999;Kuhdasht;100208
Kish;IR;26.55778;54.01944;Kish;20922
Khowy;IR;38.5503;44.9521;Khowy;175370
Khvansar;IR;33.22052;50.31497;Khvansar;21146
Khorramshahr;IR;30.44079;48.18428;Khorramshahr;330606
Khorramabad;IR;33.48778;48.35583;Khorramabad;329825
Khomeyn;IR;33.63889;50.08003;Khomeyn;77425
Khalkhal;IR;37.61837;48.52928;Khalkhal;51024
Kermanshah;IR;34.31417;47.065;Kermanshah;621100
Kerman;IR;30.28321;57.07879;Kerman;577514
Kazerun;IR;29.61949;51.65415;Kazerun;94511
Kashmar;IR;35.23831;58.46558;Kashmar;96151
Karaj;IR;35.83266;50.99155;Karaj;1448075
Kangavar;IR;34.5043;47.9653;Kangavar;53414
Kamyaran;IR;34.7956;46.9355;Kamyaran;61642
Kalaleh;IR;37.37899;55.493;Kalaleh;33700
Juybar;IR;36.64115;52.91244;Juybar;28404
Javanrud;IR;34.79611;46.51722;Javanrud;38657
Ilam;IR;33.6374;46.4227;Ilam;140940
Harsin;IR;34.2721;47.5861;Harsin;57647
Hamadan;IR;34.79922;48.51456;Hamadan;528256
Gorgan;IR;36.8427;54.44391;Gorgan;244937
Gonbad-e Kavus;IR;37.25004;55.16721;Gonbad-e Kavus;131416
Gonabad;IR;34.35287;58.68365;Gonabad;43465
Golpayegan;IR;33.4537;50.28836;Golpayegan;44916
Gerash;IR;27.66966;54.13586;Gerash;25316
Bandar-e Genaveh;IR;29.5791;50.517;Bandar-e Genaveh;52750
Fuman;IR;37.224;49.3125;Fuman;27763
Firuzabad;IR;28.8438;52.5707;Firuzabad;66558
Fereydunkenar;IR;36.68642;52.52255;Fereydunkenar;34097
Fasa;IR;28.9383;53.6482;Fasa;98061
Farsan;IR;32.25694;50.56095;Farsan;25071
Esfarayen;IR;37.07645;57.51009;Esfarayen;59678
Shahrud;IR;36.41819;54.97628;Shahrud;131889
Dogonbadan;IR;30.3586;50.7981;Dogonbadan;94638
Delijan;IR;33.9905;50.6838;Delijan;33508
Dehloran;IR;32.6941;47.2679;Dehloran;46002
Dehdasht;IR;30.7949;50.56457;Dehdasht;69726
Susangerd;IR;31.5635;48.18958;Susangerd;41443
Darreh Shahr;IR;33.14447;47.3799;Darreh Shahr;24961
Darab;IR;28.75194;54.54444;Darab;63319
Damghan;IR;36.1679;54.34292;Damghan;67694
Damavand;IR;35.71842;52.06958;Damavand;29144
Chenaran;IR;36.64546;59.12123;Chenaran;46940
Chalus;IR;36.655;51.4204;Chalus;69638
Bushehr;IR;28.96887;50.83657;Bushehr;165377
Bukan;IR;36.521;46.2089;Bukan;213331
Borujerd;IR;33.8973;48.7516;Borujerd;251958
Borujen;IR;31.96523;51.2873;Borujen;52654
Borazjan;IR;29.2699;51.2188;Borazjan;86059
Bojnurd;IR;37.47473;57.32903;Bojnurd;192041
Birjand;IR;32.86628;59.22114;Birjand;196982
Bijar;IR;35.8668;47.60506;Bijar;53871
Bonab;IR;37.3404;46.0561;Bonab;80359
Behshahr;IR;36.69235;53.55262;Behshahr;93500
Behbahan;IR;30.5959;50.2417;Behbahan;79327
Bardaskan;IR;35.26218;57.97075;Bardaskan;28233
