geonameid,sciiname,countrycode,fclass,fcode,latitude,longitude,moddate,name,population
4357495,Harp,US,P,PPL,39.53204,-77.52749,,Harp,0
4362163,Meadowvale Elementary School,US,S,SCH,39.56321,-76.10643,,Meadowvale Elementary School,0
4359954,Kings Retreat,US,P,PPL,38.924,-76.63635,,Kings Retreat,0
4359166,Interchange 87,US,R,RDJCT,39.29649,-76.82581,,Interchange 87,0
4356661,Gravelly Point,US,T,CAPE,38.28679,-75.93632,,Gravelly Point,0
4360725,Linton Point,US,T,CAPE,38.53818,-77.23776,,Linton Point,0
4359683,Karinwood,US,P,PPL,39.22344,-77.0022,,Karinwood,0
4358861,Ijamsville Heights,US,P,PPL,39.35316,-77.32054,,Ijamsville Heights,0
4356893,Greenfield Mills,US,P,PPL,39.26399,-77.43888,,Greenfield Mills,0
4359619,Joppatowne,US,P,PPL,39.45789,-76.35524,,Joppatowne,12616
4358543,Horse Hammock,US,T,ISL,37.95429,-75.99716,,Horse Hammock,0
4355855,Gaithersburg Regional Library,US,S,LIBR,39.15761,-77.20554,,Gaithersburg Regional Library,0
4364254,Oakland Terrace Elementary School,US,S,SCH,39.02844,-77.05779,,Oakland Terrace Elementary School,0
4363858,North Branch Patapsco River,US,H,STM,39.34983,-76.8822,,North Branch Patapsco River,0
4364541,Olney Elementary School,US,S,SCH,39.14933,-77.06782,,Olney Elementary School,0
4359086,Interchange 35,US,R,RDJCT,39.58593,-77.63999,,Interchange 35,0
4356241,Glenangus,US,P,PPL,39.51816,-76.30274,,Glenangus,0
4362571,Milltown Landing,US,P,PPL,38.63317,-76.69219,,Milltown Landing,0
4356717,Great Marsh,US,H,SWMP,38.36651,-75.95882,,Great Marsh,0
4363881,North Cypress Branch,US,H,STM,39.07567,-76.53552,,North Cypress Branch,0
4355583,Frazier Point,US,T,CAPE,38.699,-75.98966,,Frazier Point,0
4363457,Nailers Pond,US,H,LK,38.41012,-75.59381,,Nailers Pond,0
4362883,Mount Airy Carnival Grounds,US,L,PRK,39.36649,-77.1472,,Mount Airy Carnival Grounds,0
4363127,Mount Rainier Historic District,US,L,PRK,38.9415,-76.96248,,Mount Rainier Historic District,0
4361260,Lorraine Park Cemetery,US,S,CMTY,39.31455,-76.71914,,Lorraine Park Cemetery,0
4358114,Hills Island,US,T,ISL,38.42234,-75.10213,,Hills Island,0
4360075,Kolbes Corner,US,P,PPL,38.90039,-76.79247,,Kolbes Corner,0
4365445,Pine Hill Run,US,H,STM,38.26401,-76.39912,,Pine Hill Run,0
4356277,Glenmar Elementary School,US,S,SCH,39.34617,-76.44853,,Glenmar Elementary School,0
4358053,Highwood School,US,S,SCH,39.2715,-76.70858,,Highwood School,0
4359944,Kings Kingdom,US,P,PPL,39.38121,-77.48165,,Kings Kingdom,0
4355769,Frostburg Reservoir,US,H,RSV,39.70601,-79.0065,,Frostburg Reservoir,0
4361743,Marsh Church (historical),US,S,CH,39.59565,-77.74805,,Marsh Church (historical),0
4363999,North River Forest,US,P,PPL,38.98539,-76.59191,,North River Forest,0
4359396,Jenkins Corner,US,P,PPL,38.7865,-76.89719,,Jenkins Corner,0
4355574,Franklin Valley,US,P,PPL,39.46483,-76.85526,,Franklin Valley,0
4356182,Glen,US,P,PPL,39.04622,-77.21609,,Glen,0
4360341,Larchdale Park,US,L,PRK,39.07316,-76.86136,,Larchdale Park,0
4365033,Point Patience,US,T,CAPE,38.33012,-76.48329,,Point Patience,0
4358657,Hudson Branch,US,H,STM,38.31539,-75.20491,,Hudson Branch,0
4356441,Goose Pond,US,H,BAY,38.99178,-76.41913,,Goose Pond,0
4358323,Holly Springs School (historical),US,S,SCH,38.39318,-77.17942,,Holly Springs School (historical),0
4355934,Garland Park,US,P,PPL,39.18789,-76.6458,,Garland Park,0
